run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,191,206.44832,206.5295,62.61043,62.61043,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,192,224.10643,224.19237,64.78951,64.78951,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,193,203.40141,203.48868,60.12416,60.12416,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,194,221.17657,221.25886,60.27264,60.27264,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,195,205.89526,205.97461,62.06362,62.06362,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,196,199.10999,199.18849,60.01562,60.01562,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,197,199.20134,199.27772,59.97987,59.97987,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,198,198.86516,198.94183,59.98694,59.98694,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,199,223.60266,223.68158,60.08627,60.08627,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,200,201.0224,201.10077,59.97056,59.97056,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,201,200.98627,201.06384,59.9849,59.9849,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,202,200.47159,200.54739,59.90503,59.90503,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,203,199.28017,199.35596,60.1815,60.1815,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,204,199.45401,199.52995,60.0535,60.0535,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,205,209.69418,209.77246,59.99718,59.99718,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,206,202.02048,202.10345,60.35667,60.35667,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,207,202.32291,202.4006,60.07597,60.07597,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,208,204.82121,204.91199,60.04019,60.04019,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,209,217.01318,217.11899,67.39149,67.39149,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,210,206.58557,206.67578,61.0857,61.0857,4013.604,5294.0
